ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" mod:2024-04-12T14:40:58.064Z hisSize:48425 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:pir" point his curVal:0 disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"PIR" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" id:@p:linkEdge:r:2d9aaf5a-7668fe7b "Site B Room 2 AQ PIR" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:30:00+02:00 Bucharest occupied hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"activity" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-04T22:00:00+02:00 Bucharest,0
2025-01-04T22:15:00+02:00 Bucharest,0
2025-01-04T22:30:00+02:00 Bucharest,0
2025-01-04T22:45:00+02:00 Bucharest,0
2025-01-04T23:00:00+02:00 Bucharest,0
2025-01-04T23:15:00+02:00 Bucharest,0
2025-01-04T23:30:00+02:00 Bucharest,0
2025-01-04T23:45:00+02:00 Bucharest,0
2025-01-05T00:00:00+02:00 Bucharest,0
2025-01-05T00:15:00+02:00 Bucharest,0
2025-01-05T00:30:00+02:00 Bucharest,0
2025-01-05T00:45:00+02:00 Bucharest,0
2025-01-05T01:00:00+02:00 Bucharest,0
2025-01-05T01:15:00+02:00 Bucharest,0
2025-01-05T01:30:00+02:00 Bucharest,0
2025-01-05T01:45:00+02:00 Bucharest,0
2025-01-05T02:00:00+02:00 Bucharest,0
2025-01-05T02:15:00+02:00 Bucharest,0
2025-01-05T02:30:00+02:00 Bucharest,0
2025-01-05T02:45:00+02:00 Bucharest,0
2025-01-05T03:00:00+02:00 Bucharest,0
2025-01-05T03:15:00+02:00 Bucharest,0
2025-01-05T03:30:00+02:00 Bucharest,0
2025-01-05T03:45:00+02:00 Bucharest,0
2025-01-05T04:00:00+02:00 Bucharest,0
2025-01-05T04:15:00+02:00 Bucharest,0
2025-01-05T04:30:00+02:00 Bucharest,0
2025-01-05T04:45:00+02:00 Bucharest,0
2025-01-05T05:00:00+02:00 Bucharest,0
2025-01-05T05:15:00+02:00 Bucharest,0
2025-01-05T05:30:00+02:00 Bucharest,0
2025-01-05T05:45:00+02:00 Bucharest,0
2025-01-05T06:00:00+02:00 Bucharest,0
2025-01-05T06:15:00+02:00 Bucharest,0
2025-01-05T06:30:00+02:00 Bucharest,0
2025-01-05T06:45:00+02:00 Bucharest,0
2025-01-05T07:00:00+02:00 Bucharest,0
2025-01-05T07:15:00+02:00 Bucharest,0
2025-01-05T07:30:00+02:00 Bucharest,0
2025-01-05T07:45:00+02:00 Bucharest,0
2025-01-05T08:00:00+02:00 Bucharest,0
2025-01-05T08:15:00+02:00 Bucharest,0
2025-01-05T08:30:00+02:00 Bucharest,0
2025-01-05T08:45:00+02:00 Bucharest,0
2025-01-05T09:00:00+02:00 Bucharest,0
2025-01-05T09:15:00+02:00 Bucharest,0
2025-01-05T09:30:00+02:00 Bucharest,0
2025-01-05T09:45:00+02:00 Bucharest,0
2025-01-05T10:00:00+02:00 Bucharest,0
2025-01-05T10:15:00+02:00 Bucharest,0
2025-01-05T10:30:00+02:00 Bucharest,0
2025-01-05T10:45:00+02:00 Bucharest,0
2025-01-05T11:00:00+02:00 Bucharest,0
2025-01-05T11:15:00+02:00 Bucharest,0
2025-01-05T11:30:00+02:00 Bucharest,0
2025-01-05T11:45:00+02:00 Bucharest,0
2025-01-05T12:00:00+02:00 Bucharest,0
2025-01-05T12:15:00+02:00 Bucharest,0
2025-01-05T12:30:00+02:00 Bucharest,0
2025-01-05T12:45:00+02:00 Bucharest,0
2025-01-05T13:00:00+02:00 Bucharest,0
2025-01-05T13:15:00+02:00 Bucharest,0
2025-01-05T13:30:00+02:00 Bucharest,0
2025-01-05T13:45:00+02:00 Bucharest,0
2025-01-05T14:00:00+02:00 Bucharest,0
2025-01-05T14:15:00+02:00 Bucharest,0
2025-01-05T14:30:00+02:00 Bucharest,0
2025-01-05T14:45:00+02:00 Bucharest,0
2025-01-05T15:00:00+02:00 Bucharest,0
2025-01-05T15:15:00+02:00 Bucharest,0
2025-01-05T15:30:00+02:00 Bucharest,0
