ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:42:49.84Z hisSize:49320 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" lorawanPoint maxVal:100 his minVal:0 humidity id:@p:linkEdge:r:2d9ab1c2-18241fa4 "Site B Room 3 AQ Humidity" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"%RH" sensor cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:humidity" point curVal:44.5%RH disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"Humidity" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"humidity" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba"
2025-01-11T09:00:00+02:00 Bucharest,48.5%RH
2025-01-11T09:15:00+02:00 Bucharest,48.5%RH
2025-01-11T09:30:00+02:00 Bucharest,48.5%RH
2025-01-11T09:45:00+02:00 Bucharest,48.5%RH
2025-01-11T10:00:00+02:00 Bucharest,48.5%RH
2025-01-11T10:15:00+02:00 Bucharest,48.5%RH
2025-01-11T10:29:48+02:00 Bucharest,49%RH
2025-01-11T10:30:00+02:00 Bucharest,49%RH
2025-01-11T10:45:00+02:00 Bucharest,49%RH
2025-01-11T11:00:00+02:00 Bucharest,49%RH
2025-01-11T11:15:00+02:00 Bucharest,49%RH
2025-01-11T11:29:49+02:00 Bucharest,48.5%RH
2025-01-11T11:30:00+02:00 Bucharest,48.5%RH
2025-01-11T11:45:00+02:00 Bucharest,48.5%RH
2025-01-11T12:00:00+02:00 Bucharest,48.5%RH
2025-01-11T12:15:00+02:00 Bucharest,48.5%RH
2025-01-11T12:30:00+02:00 Bucharest,48.5%RH
2025-01-11T12:45:00+02:00 Bucharest,48.5%RH
2025-01-11T13:00:00+02:00 Bucharest,48.5%RH
2025-01-11T13:15:00+02:00 Bucharest,48.5%RH
2025-01-11T13:30:00+02:00 Bucharest,48.5%RH
2025-01-11T13:45:00+02:00 Bucharest,48.5%RH
2025-01-11T13:59:49+02:00 Bucharest,48%RH
2025-01-11T14:00:00+02:00 Bucharest,48%RH
2025-01-11T14:09:48+02:00 Bucharest,48.5%RH
2025-01-11T14:15:00+02:00 Bucharest,48.5%RH
2025-01-11T14:19:48+02:00 Bucharest,48%RH
2025-01-11T14:30:00+02:00 Bucharest,48%RH
2025-01-11T14:39:49+02:00 Bucharest,48.5%RH
2025-01-11T14:45:00+02:00 Bucharest,48.5%RH
2025-01-11T15:00:00+02:00 Bucharest,48.5%RH
2025-01-11T15:09:49+02:00 Bucharest,48%RH
2025-01-11T15:15:00+02:00 Bucharest,48%RH
2025-01-11T15:30:00+02:00 Bucharest,48%RH
2025-01-11T15:45:00+02:00 Bucharest,48%RH
2025-01-11T15:59:48+02:00 Bucharest,48.5%RH
2025-01-11T16:00:00+02:00 Bucharest,48.5%RH
2025-01-11T16:09:48+02:00 Bucharest,48%RH
2025-01-11T16:15:00+02:00 Bucharest,48%RH
2025-01-11T16:19:49+02:00 Bucharest,48.5%RH
2025-01-11T16:30:00+02:00 Bucharest,48.5%RH
2025-01-11T16:45:00+02:00 Bucharest,48.5%RH
2025-01-11T17:00:00+02:00 Bucharest,48.5%RH
2025-01-11T17:15:00+02:00 Bucharest,48.5%RH
2025-01-11T17:19:48+02:00 Bucharest,48%RH
2025-01-11T17:30:00+02:00 Bucharest,48%RH
2025-01-11T17:45:00+02:00 Bucharest,48%RH
2025-01-11T18:00:00+02:00 Bucharest,48%RH
2025-01-11T18:09:49+02:00 Bucharest,47.5%RH
2025-01-11T18:15:00+02:00 Bucharest,47.5%RH
2025-01-11T18:30:00+02:00 Bucharest,47.5%RH
2025-01-11T18:45:00+02:00 Bucharest,47.5%RH
2025-01-11T19:00:00+02:00 Bucharest,47.5%RH
2025-01-11T19:15:00+02:00 Bucharest,47.5%RH
2025-01-11T19:30:00+02:00 Bucharest,47.5%RH
2025-01-11T19:45:00+02:00 Bucharest,47.5%RH
2025-01-11T20:00:00+02:00 Bucharest,47.5%RH
2025-01-11T20:15:00+02:00 Bucharest,47.5%RH
2025-01-11T20:19:48+02:00 Bucharest,47%RH
2025-01-11T20:30:00+02:00 Bucharest,47%RH
2025-01-11T20:45:00+02:00 Bucharest,47%RH
2025-01-11T21:00:00+02:00 Bucharest,47%RH
2025-01-11T21:09:49+02:00 Bucharest,46.5%RH
2025-01-11T21:15:00+02:00 Bucharest,46.5%RH
2025-01-11T21:30:00+02:00 Bucharest,46.5%RH
2025-01-11T21:45:00+02:00 Bucharest,46.5%RH
2025-01-11T21:49:49+02:00 Bucharest,46%RH
2025-01-11T21:59:48+02:00 Bucharest,45.5%RH
2025-01-11T22:00:00+02:00 Bucharest,45.5%RH
2025-01-11T22:15:00+02:00 Bucharest,45.5%RH
2025-01-11T22:30:00+02:00 Bucharest,45.5%RH
2025-01-11T22:45:00+02:00 Bucharest,45.5%RH
2025-01-11T23:00:00+02:00 Bucharest,45.5%RH
2025-01-11T23:09:49+02:00 Bucharest,44.5%RH
2025-01-11T23:15:00+02:00 Bucharest,44.5%RH
2025-01-11T23:30:00+02:00 Bucharest,44.5%RH
2025-01-11T23:45:00+02:00 Bucharest,44.5%RH
2025-01-12T00:00:00+02:00 Bucharest,44.5%RH
2025-01-12T00:15:00+02:00 Bucharest,44.5%RH
2025-01-12T00:29:48+02:00 Bucharest,44%RH
2025-01-12T00:30:00+02:00 Bucharest,44%RH
2025-01-12T00:45:00+02:00 Bucharest,44%RH
2025-01-12T00:49:49+02:00 Bucharest,44.5%RH
2025-01-12T00:59:49+02:00 Bucharest,45%RH
2025-01-12T01:00:00+02:00 Bucharest,45%RH
2025-01-12T01:15:00+02:00 Bucharest,45%RH
2025-01-12T01:29:49+02:00 Bucharest,44.5%RH
2025-01-12T01:30:00+02:00 Bucharest,44.5%RH
2025-01-12T01:45:00+02:00 Bucharest,44.5%RH
2025-01-12T01:59:49+02:00 Bucharest,44%RH
2025-01-12T02:00:00+02:00 Bucharest,44%RH
2025-01-12T02:15:00+02:00 Bucharest,44%RH
2025-01-12T02:30:00+02:00 Bucharest,44%RH
2025-01-12T02:45:00+02:00 Bucharest,44%RH
2025-01-12T03:00:00+02:00 Bucharest,44%RH
2025-01-12T03:15:00+02:00 Bucharest,44%RH
2025-01-12T03:30:00+02:00 Bucharest,44%RH
2025-01-12T03:45:00+02:00 Bucharest,44%RH
2025-01-12T04:00:00+02:00 Bucharest,44%RH
2025-01-12T04:15:00+02:00 Bucharest,44%RH
2025-01-12T04:19:49+02:00 Bucharest,44.5%RH
2025-01-12T04:30:00+02:00 Bucharest,44.5%RH
2025-01-12T04:45:00+02:00 Bucharest,44.5%RH
2025-01-12T05:00:00+02:00 Bucharest,44.5%RH
2025-01-12T05:15:00+02:00 Bucharest,44.5%RH
2025-01-12T05:30:00+02:00 Bucharest,44.5%RH
2025-01-12T05:39:49+02:00 Bucharest,46.5%RH
2025-01-12T05:45:00+02:00 Bucharest,46.5%RH
2025-01-12T06:00:00+02:00 Bucharest,46.5%RH
2025-01-12T06:15:00+02:00 Bucharest,46.5%RH
2025-01-12T06:29:49+02:00 Bucharest,47%RH
2025-01-12T06:30:00+02:00 Bucharest,47%RH
2025-01-12T06:45:00+02:00 Bucharest,47%RH
2025-01-12T07:00:00+02:00 Bucharest,47%RH
2025-01-12T07:15:00+02:00 Bucharest,47%RH
2025-01-12T07:30:00+02:00 Bucharest,47%RH
2025-01-12T07:39:49+02:00 Bucharest,47.5%RH
2025-01-12T07:45:00+02:00 Bucharest,47.5%RH
2025-01-12T08:00:00+02:00 Bucharest,47.5%RH
2025-01-12T08:15:00+02:00 Bucharest,47.5%RH
2025-01-12T08:30:00+02:00 Bucharest,47.5%RH
2025-01-12T08:45:00+02:00 Bucharest,47.5%RH
2025-01-12T08:59:48+02:00 Bucharest,48%RH
2025-01-12T09:00:00+02:00 Bucharest,48%RH
2025-01-12T09:15:00+02:00 Bucharest,48%RH
2025-01-12T09:19:49+02:00 Bucharest,47.5%RH
2025-01-12T09:29:49+02:00 Bucharest,47%RH
2025-01-12T09:30:00+02:00 Bucharest,47%RH
2025-01-12T09:45:00+02:00 Bucharest,47%RH
2025-01-12T09:59:49+02:00 Bucharest,45.5%RH
2025-01-12T10:00:00+02:00 Bucharest,45.5%RH
2025-01-12T10:15:00+02:00 Bucharest,45.5%RH
2025-01-12T10:19:49+02:00 Bucharest,46%RH
2025-01-12T10:29:49+02:00 Bucharest,46.5%RH
2025-01-12T10:30:00+02:00 Bucharest,46.5%RH
2025-01-12T10:45:00+02:00 Bucharest,46.5%RH
2025-01-12T10:49:49+02:00 Bucharest,46%RH
2025-01-12T11:00:00+02:00 Bucharest,46%RH
2025-01-12T11:15:00+02:00 Bucharest,46%RH
2025-01-12T11:29:49+02:00 Bucharest,46.5%RH
2025-01-12T11:30:00+02:00 Bucharest,46.5%RH
2025-01-12T11:45:00+02:00 Bucharest,46.5%RH
2025-01-12T12:00:00+02:00 Bucharest,46.5%RH
2025-01-12T12:09:49+02:00 Bucharest,46%RH
2025-01-12T12:15:00+02:00 Bucharest,46%RH
2025-01-12T12:30:00+02:00 Bucharest,46%RH
2025-01-12T12:39:49+02:00 Bucharest,46.5%RH
2025-01-12T12:45:00+02:00 Bucharest,46.5%RH
2025-01-12T13:00:00+02:00 Bucharest,46.5%RH
2025-01-12T13:15:00+02:00 Bucharest,46.5%RH
2025-01-12T13:29:49+02:00 Bucharest,45.5%RH
2025-01-12T13:30:00+02:00 Bucharest,45.5%RH
2025-01-12T13:45:00+02:00 Bucharest,45.5%RH
2025-01-12T13:59:49+02:00 Bucharest,45%RH
2025-01-12T14:00:00+02:00 Bucharest,45%RH
2025-01-12T14:15:00+02:00 Bucharest,45%RH
2025-01-12T14:29:49+02:00 Bucharest,44.5%RH
2025-01-12T14:30:00+02:00 Bucharest,44.5%RH
2025-01-12T14:45:00+02:00 Bucharest,44.5%RH
2025-01-12T15:00:00+02:00 Bucharest,44.5%RH
2025-01-12T15:15:00+02:00 Bucharest,44.5%RH
2025-01-12T15:29:49+02:00 Bucharest,44%RH
2025-01-12T15:30:00+02:00 Bucharest,44%RH
2025-01-12T15:45:00+02:00 Bucharest,44%RH
2025-01-12T15:59:49+02:00 Bucharest,43.5%RH
2025-01-12T16:00:00+02:00 Bucharest,43.5%RH
2025-01-12T16:15:00+02:00 Bucharest,43.5%RH
2025-01-12T16:30:00+02:00 Bucharest,43.5%RH
2025-01-12T16:45:00+02:00 Bucharest,43.5%RH
2025-01-12T17:00:00+02:00 Bucharest,43.5%RH
2025-01-12T17:09:49+02:00 Bucharest,46%RH
2025-01-12T17:15:00+02:00 Bucharest,46%RH
2025-01-12T17:19:49+02:00 Bucharest,46.5%RH
2025-01-12T17:30:00+02:00 Bucharest,46.5%RH
2025-01-12T17:45:00+02:00 Bucharest,46.5%RH
2025-01-12T18:00:00+02:00 Bucharest,46.5%RH
2025-01-12T18:15:00+02:00 Bucharest,46.5%RH
2025-01-12T18:30:00+02:00 Bucharest,46.5%RH
2025-01-12T18:45:00+02:00 Bucharest,46.5%RH
2025-01-12T18:49:49+02:00 Bucharest,45%RH
2025-01-12T18:59:49+02:00 Bucharest,44.5%RH
2025-01-12T19:00:00+02:00 Bucharest,44.5%RH
2025-01-12T19:09:49+02:00 Bucharest,43.5%RH
2025-01-12T19:15:00+02:00 Bucharest,43.5%RH
2025-01-12T19:30:00+02:00 Bucharest,43.5%RH
2025-01-12T19:45:00+02:00 Bucharest,43.5%RH
2025-01-12T19:59:49+02:00 Bucharest,44%RH
2025-01-12T20:00:00+02:00 Bucharest,44%RH
2025-01-12T20:15:00+02:00 Bucharest,44%RH
2025-01-12T20:30:00+02:00 Bucharest,44%RH
2025-01-12T20:39:49+02:00 Bucharest,48.5%RH
2025-01-12T20:45:00+02:00 Bucharest,48.5%RH
2025-01-12T20:59:49+02:00 Bucharest,51.5%RH
2025-01-12T21:00:00+02:00 Bucharest,51.5%RH
2025-01-12T21:15:00+02:00 Bucharest,51.5%RH
2025-01-12T21:30:00+02:00 Bucharest,51.5%RH
2025-01-12T21:45:00+02:00 Bucharest,51.5%RH
2025-01-12T21:59:49+02:00 Bucharest,50%RH
2025-01-12T22:00:00+02:00 Bucharest,50%RH
2025-01-12T22:09:49+02:00 Bucharest,49.5%RH
2025-01-12T22:15:00+02:00 Bucharest,49.5%RH
2025-01-12T22:19:50+02:00 Bucharest,49%RH
2025-01-12T22:30:00+02:00 Bucharest,49%RH
2025-01-12T22:45:00+02:00 Bucharest,49%RH
2025-01-12T22:59:49+02:00 Bucharest,50.5%RH
2025-01-12T23:00:00+02:00 Bucharest,50.5%RH
2025-01-12T23:09:49+02:00 Bucharest,51%RH
2025-01-12T23:15:00+02:00 Bucharest,51%RH
2025-01-12T23:30:00+02:00 Bucharest,51%RH
2025-01-12T23:39:49+02:00 Bucharest,49.5%RH
2025-01-12T23:45:00+02:00 Bucharest,49.5%RH
2025-01-12T23:49:49+02:00 Bucharest,49%RH
2025-01-13T00:00:00+02:00 Bucharest,49%RH
2025-01-13T00:09:50+02:00 Bucharest,48.5%RH
2025-01-13T00:15:00+02:00 Bucharest,48.5%RH
2025-01-13T00:30:00+02:00 Bucharest,48.5%RH
2025-01-13T00:45:00+02:00 Bucharest,48.5%RH
2025-01-13T01:00:00+02:00 Bucharest,48.5%RH
2025-01-13T01:15:00+02:00 Bucharest,48.5%RH
2025-01-13T01:30:00+02:00 Bucharest,48.5%RH
2025-01-13T01:45:00+02:00 Bucharest,48.5%RH
2025-01-13T01:59:50+02:00 Bucharest,49%RH
2025-01-13T02:00:00+02:00 Bucharest,49%RH
2025-01-13T02:15:00+02:00 Bucharest,49%RH
2025-01-13T02:30:00+02:00 Bucharest,49%RH
2025-01-13T02:45:00+02:00 Bucharest,49%RH
2025-01-13T03:00:00+02:00 Bucharest,49%RH
2025-01-13T03:15:00+02:00 Bucharest,49%RH
2025-01-13T03:30:00+02:00 Bucharest,49%RH
2025-01-13T03:45:00+02:00 Bucharest,49%RH
2025-01-13T03:49:50+02:00 Bucharest,48.5%RH
2025-01-13T03:59:49+02:00 Bucharest,48%RH
2025-01-13T04:00:00+02:00 Bucharest,48%RH
2025-01-13T04:15:00+02:00 Bucharest,48%RH
2025-01-13T04:30:00+02:00 Bucharest,48%RH
2025-01-13T04:45:00+02:00 Bucharest,48%RH
2025-01-13T05:00:00+02:00 Bucharest,48%RH
2025-01-13T05:15:00+02:00 Bucharest,48%RH
2025-01-13T05:30:00+02:00 Bucharest,48%RH
2025-01-13T05:39:50+02:00 Bucharest,47.5%RH
2025-01-13T05:45:00+02:00 Bucharest,47.5%RH
2025-01-13T05:49:49+02:00 Bucharest,46.5%RH
2025-01-13T06:00:00+02:00 Bucharest,46.5%RH
2025-01-13T06:09:50+02:00 Bucharest,45%RH
2025-01-13T06:15:00+02:00 Bucharest,45%RH
2025-01-13T06:29:49+02:00 Bucharest,45.5%RH
2025-01-13T06:30:00+02:00 Bucharest,45.5%RH
2025-01-13T06:45:00+02:00 Bucharest,45.5%RH
2025-01-13T06:59:49+02:00 Bucharest,46%RH
2025-01-13T07:00:00+02:00 Bucharest,46%RH
2025-01-13T07:15:00+02:00 Bucharest,46%RH
2025-01-13T07:19:50+02:00 Bucharest,46.5%RH
2025-01-13T07:30:00+02:00 Bucharest,46.5%RH
2025-01-13T07:45:00+02:00 Bucharest,46.5%RH
2025-01-13T08:00:00+02:00 Bucharest,46.5%RH
2025-01-13T08:15:00+02:00 Bucharest,46.5%RH
2025-01-13T08:19:49+02:00 Bucharest,46%RH
2025-01-13T08:30:00+02:00 Bucharest,46%RH
2025-01-13T08:45:00+02:00 Bucharest,46%RH
2025-01-13T08:49:49+02:00 Bucharest,45%RH
2025-01-13T09:00:00+02:00 Bucharest,45%RH
2025-01-13T09:15:00+02:00 Bucharest,45%RH
2025-01-13T09:19:50+02:00 Bucharest,45.5%RH
2025-01-13T09:30:00+02:00 Bucharest,45.5%RH
2025-01-13T09:45:00+02:00 Bucharest,45.5%RH
2025-01-13T10:00:00+02:00 Bucharest,45.5%RH
2025-01-13T10:15:00+02:00 Bucharest,45.5%RH
2025-01-13T10:30:00+02:00 Bucharest,45.5%RH
2025-01-13T10:45:00+02:00 Bucharest,45.5%RH
2025-01-13T10:49:49+02:00 Bucharest,44.5%RH
2025-01-13T11:00:00+02:00 Bucharest,44.5%RH
2025-01-13T11:15:00+02:00 Bucharest,44.5%RH
2025-01-13T11:29:50+02:00 Bucharest,43.5%RH
2025-01-13T11:30:00+02:00 Bucharest,43.5%RH
2025-01-13T11:45:00+02:00 Bucharest,43.5%RH
2025-01-13T12:00:00+02:00 Bucharest,43.5%RH
2025-01-13T12:15:00+02:00 Bucharest,43.5%RH
2025-01-13T12:19:50+02:00 Bucharest,42%RH
2025-01-13T12:29:49+02:00 Bucharest,41.5%RH
2025-01-13T12:30:00+02:00 Bucharest,41.5%RH
2025-01-13T12:45:00+02:00 Bucharest,41.5%RH
2025-01-13T12:59:50+02:00 Bucharest,40.5%RH
2025-01-13T13:00:00+02:00 Bucharest,40.5%RH
2025-01-13T13:09:49+02:00 Bucharest,40%RH
2025-01-13T13:15:00+02:00 Bucharest,40%RH
2025-01-13T13:30:00+02:00 Bucharest,40%RH
2025-01-13T13:39:50+02:00 Bucharest,40.5%RH
2025-01-13T13:45:00+02:00 Bucharest,40.5%RH
2025-01-13T14:00:00+02:00 Bucharest,40.5%RH
2025-01-13T14:15:00+02:00 Bucharest,40.5%RH
2025-01-13T14:29:50+02:00 Bucharest,42.5%RH
2025-01-13T14:30:00+02:00 Bucharest,42.5%RH
2025-01-13T14:45:00+02:00 Bucharest,42.5%RH
2025-01-13T15:00:00+02:00 Bucharest,42.5%RH
2025-01-13T15:15:00+02:00 Bucharest,42.5%RH
2025-01-13T15:29:49+02:00 Bucharest,42%RH
2025-01-13T15:30:00+02:00 Bucharest,42%RH
2025-01-13T15:45:00+02:00 Bucharest,42%RH
2025-01-13T16:00:00+02:00 Bucharest,42%RH
2025-01-13T16:15:00+02:00 Bucharest,42%RH
2025-01-13T16:30:00+02:00 Bucharest,42%RH
2025-01-13T16:45:00+02:00 Bucharest,42%RH
2025-01-13T17:00:00+02:00 Bucharest,42%RH
2025-01-13T17:15:00+02:00 Bucharest,42%RH
2025-01-13T17:30:00+02:00 Bucharest,42%RH
2025-01-13T17:45:00+02:00 Bucharest,42%RH
2025-01-13T17:59:49+02:00 Bucharest,42.5%RH
2025-01-13T18:00:00+02:00 Bucharest,42.5%RH
2025-01-13T18:15:00+02:00 Bucharest,42.5%RH
2025-01-13T18:19:50+02:00 Bucharest,43%RH
2025-01-13T18:30:00+02:00 Bucharest,43%RH
2025-01-13T18:45:00+02:00 Bucharest,43%RH
2025-01-13T19:00:00+02:00 Bucharest,43%RH
2025-01-13T19:15:00+02:00 Bucharest,43%RH
2025-01-13T19:30:00+02:00 Bucharest,43%RH
2025-01-13T19:45:00+02:00 Bucharest,43%RH
2025-01-13T20:00:00+02:00 Bucharest,43%RH
2025-01-13T20:15:00+02:00 Bucharest,43%RH
2025-01-13T20:30:00+02:00 Bucharest,43%RH
2025-01-13T20:45:00+02:00 Bucharest,43%RH
2025-01-13T20:49:50+02:00 Bucharest,42.5%RH
2025-01-13T21:00:00+02:00 Bucharest,42.5%RH
2025-01-13T21:15:00+02:00 Bucharest,42.5%RH
2025-01-13T21:30:00+02:00 Bucharest,42.5%RH
2025-01-13T21:45:00+02:00 Bucharest,42.5%RH
2025-01-13T21:59:50+02:00 Bucharest,43%RH
2025-01-13T22:00:00+02:00 Bucharest,43%RH
2025-01-13T22:15:00+02:00 Bucharest,43%RH
2025-01-13T22:19:52+02:00 Bucharest,43.5%RH
2025-01-13T22:29:50+02:00 Bucharest,44%RH
2025-01-13T22:30:00+02:00 Bucharest,44%RH
2025-01-13T22:45:00+02:00 Bucharest,44%RH
2025-01-13T22:49:49+02:00 Bucharest,44.5%RH
2025-01-13T23:00:00+02:00 Bucharest,44.5%RH
2025-01-13T23:15:00+02:00 Bucharest,44.5%RH
2025-01-13T23:29:50+02:00 Bucharest,45.5%RH
2025-01-13T23:30:00+02:00 Bucharest,45.5%RH
2025-01-13T23:45:00+02:00 Bucharest,45.5%RH
2025-01-14T00:00:00+02:00 Bucharest,45.5%RH
2025-01-14T00:09:50+02:00 Bucharest,44.5%RH
2025-01-14T00:15:00+02:00 Bucharest,44.5%RH
2025-01-14T00:30:00+02:00 Bucharest,44.5%RH
2025-01-14T00:45:00+02:00 Bucharest,44.5%RH
2025-01-14T01:00:00+02:00 Bucharest,44.5%RH
2025-01-14T01:15:00+02:00 Bucharest,44.5%RH
2025-01-14T01:29:50+02:00 Bucharest,45%RH
2025-01-14T01:30:00+02:00 Bucharest,45%RH
2025-01-14T01:45:00+02:00 Bucharest,45%RH
2025-01-14T02:00:00+02:00 Bucharest,45%RH
2025-01-14T02:15:00+02:00 Bucharest,45%RH
2025-01-14T02:30:00+02:00 Bucharest,45%RH
2025-01-14T02:39:50+02:00 Bucharest,44.5%RH
2025-01-14T02:45:00+02:00 Bucharest,44.5%RH
2025-01-14T03:00:00+02:00 Bucharest,44.5%RH
2025-01-14T03:15:00+02:00 Bucharest,44.5%RH
2025-01-14T03:30:00+02:00 Bucharest,44.5%RH
2025-01-14T03:45:00+02:00 Bucharest,44.5%RH
2025-01-14T03:49:50+02:00 Bucharest,46%RH
2025-01-14T04:00:00+02:00 Bucharest,46%RH
2025-01-14T04:15:00+02:00 Bucharest,46%RH
2025-01-14T04:30:00+02:00 Bucharest,46%RH
2025-01-14T04:45:00+02:00 Bucharest,46%RH
2025-01-14T05:00:00+02:00 Bucharest,46%RH
2025-01-14T05:15:00+02:00 Bucharest,46%RH
2025-01-14T05:30:00+02:00 Bucharest,46%RH
2025-01-14T05:45:00+02:00 Bucharest,46%RH
2025-01-14T06:00:00+02:00 Bucharest,46%RH
2025-01-14T06:15:00+02:00 Bucharest,46%RH
2025-01-14T06:19:50+02:00 Bucharest,44%RH
2025-01-14T06:30:00+02:00 Bucharest,44%RH
2025-01-14T06:45:00+02:00 Bucharest,44%RH
2025-01-14T06:59:50+02:00 Bucharest,44.5%RH
2025-01-14T07:00:00+02:00 Bucharest,44.5%RH
2025-01-14T07:15:00+02:00 Bucharest,44.5%RH
2025-01-14T07:30:00+02:00 Bucharest,44.5%RH
2025-01-14T07:39:50+02:00 Bucharest,45%RH
2025-01-14T07:45:00+02:00 Bucharest,45%RH
2025-01-14T08:00:00+02:00 Bucharest,45%RH
2025-01-14T08:15:00+02:00 Bucharest,45%RH
2025-01-14T08:30:00+02:00 Bucharest,45%RH
2025-01-14T08:45:00+02:00 Bucharest,45%RH
2025-01-14T09:00:00+02:00 Bucharest,45%RH
2025-01-14T09:15:00+02:00 Bucharest,45%RH
2025-01-14T09:19:50+02:00 Bucharest,44.5%RH
2025-01-14T09:30:00+02:00 Bucharest,44.5%RH
2025-01-14T09:45:00+02:00 Bucharest,44.5%RH
2025-01-14T09:59:50+02:00 Bucharest,44%RH
2025-01-14T10:00:00+02:00 Bucharest,44%RH
2025-01-14T10:15:00+02:00 Bucharest,44%RH
2025-01-14T10:30:00+02:00 Bucharest,44%RH
2025-01-14T10:45:00+02:00 Bucharest,44%RH
2025-01-14T11:00:00+02:00 Bucharest,44%RH
2025-01-14T11:15:00+02:00 Bucharest,44%RH
2025-01-14T11:29:51+02:00 Bucharest,43.5%RH
2025-01-14T11:30:00+02:00 Bucharest,43.5%RH
2025-01-14T11:45:00+02:00 Bucharest,43.5%RH
2025-01-14T11:59:50+02:00 Bucharest,43%RH
2025-01-14T12:00:00+02:00 Bucharest,43%RH
2025-01-14T12:15:00+02:00 Bucharest,43%RH
2025-01-14T12:30:00+02:00 Bucharest,43%RH
2025-01-14T12:39:51+02:00 Bucharest,42.5%RH
2025-01-14T12:45:00+02:00 Bucharest,42.5%RH
2025-01-14T13:00:00+02:00 Bucharest,42.5%RH
2025-01-14T13:15:00+02:00 Bucharest,42.5%RH
2025-01-14T13:19:51+02:00 Bucharest,42%RH
2025-01-14T13:30:00+02:00 Bucharest,42%RH
2025-01-14T13:45:00+02:00 Bucharest,42%RH
2025-01-14T14:00:00+02:00 Bucharest,42%RH
2025-01-14T14:15:00+02:00 Bucharest,42%RH
2025-01-14T14:29:51+02:00 Bucharest,42.5%RH
2025-01-14T14:30:00+02:00 Bucharest,42.5%RH
2025-01-14T14:45:00+02:00 Bucharest,42.5%RH
2025-01-14T15:00:00+02:00 Bucharest,42.5%RH
2025-01-14T15:15:00+02:00 Bucharest,42.5%RH
2025-01-14T15:30:00+02:00 Bucharest,42.5%RH
2025-01-14T15:45:00+02:00 Bucharest,42.5%RH
2025-01-14T16:00:00+02:00 Bucharest,42.5%RH
2025-01-14T16:15:00+02:00 Bucharest,42.5%RH
2025-01-14T16:30:00+02:00 Bucharest,42.5%RH
2025-01-14T16:39:50+02:00 Bucharest,43%RH
2025-01-14T16:45:00+02:00 Bucharest,43%RH
2025-01-14T17:00:00+02:00 Bucharest,43%RH
2025-01-14T17:15:00+02:00 Bucharest,43%RH
2025-01-14T17:19:50+02:00 Bucharest,43.5%RH
2025-01-14T17:30:00+02:00 Bucharest,43.5%RH
2025-01-14T17:45:00+02:00 Bucharest,43.5%RH
2025-01-14T18:00:00+02:00 Bucharest,43.5%RH
2025-01-14T18:15:00+02:00 Bucharest,43.5%RH
2025-01-14T18:30:00+02:00 Bucharest,43.5%RH
2025-01-14T18:45:00+02:00 Bucharest,43.5%RH
2025-01-14T18:59:50+02:00 Bucharest,43%RH
2025-01-14T19:00:00+02:00 Bucharest,43%RH
2025-01-14T19:15:00+02:00 Bucharest,43%RH
2025-01-14T19:30:00+02:00 Bucharest,43%RH
2025-01-14T19:45:00+02:00 Bucharest,43%RH
2025-01-14T20:00:00+02:00 Bucharest,43%RH
2025-01-14T20:15:00+02:00 Bucharest,43%RH
2025-01-14T20:30:00+02:00 Bucharest,43%RH
2025-01-14T20:45:00+02:00 Bucharest,43%RH
2025-01-14T21:00:00+02:00 Bucharest,43%RH
2025-01-14T21:09:51+02:00 Bucharest,43.5%RH
2025-01-14T21:15:00+02:00 Bucharest,43.5%RH
2025-01-14T21:30:00+02:00 Bucharest,43.5%RH
2025-01-14T21:39:51+02:00 Bucharest,44%RH
2025-01-14T21:45:00+02:00 Bucharest,44%RH
2025-01-14T22:00:00+02:00 Bucharest,44%RH
2025-01-14T22:09:52+02:00 Bucharest,44.5%RH
2025-01-14T22:15:00+02:00 Bucharest,44.5%RH
2025-01-14T22:30:00+02:00 Bucharest,44.5%RH
2025-01-14T22:45:00+02:00 Bucharest,44.5%RH
2025-01-14T22:59:51+02:00 Bucharest,44%RH
2025-01-14T23:00:00+02:00 Bucharest,44%RH
2025-01-14T23:09:51+02:00 Bucharest,43.5%RH
2025-01-14T23:15:00+02:00 Bucharest,43.5%RH
2025-01-14T23:30:00+02:00 Bucharest,43.5%RH
2025-01-14T23:45:00+02:00 Bucharest,43.5%RH
